x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
2,2,3,3,0,1,2,1,0,3,2,3,-0.27253762954984356,181517
0,2,0,0,1,1,2,2,3,1,3,2,-1.0661086493179344,182193
1,3,3,0,3,2,2,2,1,1,1,1,-0.8075949294340151,182903
2,1,3,1,3,1,3,1,1,1,3,2,-0.8075949294340151,183615
0,3,3,0,2,2,3,2,1,1,3,2,-0.8075949294340151,184314
1,3,3,2,0,0,3,0,2,3,3,3,-0.8075949294340151,185027
2,0,0,0,2,3,3,2,0,3,0,1,-1.0661086493179344,185733
0,0,0,1,0,0,3,3,0,0,2,1,-1.0661086493179344,186438
2,1,3,1,3,0,0,1,1,1,1,1,-1.0661086493179344,187119
1,3,2,0,3,2,3,2,1,1,1,3,-0.8075949294340151,187817
3,0,3,3,1,3,1,3,3,0,2,0,-0.3342607659482927,188508
1,2,3,3,3,1,3,0,2,2,0,2,-0.5400662794919292,188668
1,3,3,0,1,2,3,2,1,1,0,1,-1.0661086493179344,189348
2,1,3,1,3,0,0,1,1,0,1,2,-0.8075949294340148,190068
0,0,3,0,0,0,0,0,0,0,3,2,-1.0661086493179344,190750
0,0,3,0,0,0,1,2,0,0,1,2,-1.0661086493179344,191451
